Age,Education,Black,Hispanic,Married,NoDegree,RE74,Treatment,RE78
27,10,0,1,0,1,421.3024,1,3075.862
18,12,0,1,0,0,535.5533,1,1115.86
22,11,1,0,0,1,606.9609,1,317.8952
20,9,1,0,0,1,660.5159,1,12229.63
20,11,1,0,0,1,696.2192,1,0
18,10,1,0,0,1,699.7896,1,480.527
17,10,1,0,0,1,856.8864,1,3251.1
26,12,1,0,0,0,1088.907,1,11460.56
22,10,1,0,0,1,1071.108,1,7315.452
20,12,1,0,0,0,1160.366,1,702.1839
18,8,1,0,0,1,1199.641,1,0
18,9,1,0,0,1,1285.33,1,15369.48
18,10,1,0,0,1,1371.017,1,12064.41
19,10,1,0,0,1,1374.587,1,13278.97
18,9,0,1,0,1,1713.773,1,8836.566
17,10,0,1,0,1,2202.796,1,4387.057
19,11,1,0,0,1,1927.995,1,11965.81
27,11,1,0,1,1,2142.217,1,2186.189
19,10,1,0,0,1,3213.113,1,2975.031
19,9,0,1,0,1,3276.15,1,14271.23
27,10,1,0,0,1,3213.322,1,2094.119
21,11,1,0,1,1,4167.998,1,11300.24
29,10,1,0,1,1,4923.263,1,130.6791
34,11,0,1,0,1,4641.467,1,2877.682
25,10,0,0,0,1,4712.874,1,6103.746
31,13,0,0,0,0,5498.35,1,2329.867
41,9,1,0,1,1,5783.981,1,0
21,11,0,1,0,1,6658.562,1,9381.295
20,11,1,0,0,1,6426.646,1,16451.46
24,12,0,1,1,0,7212.11,1,6485.508
41,9,1,0,1,1,7212.12,1,3154.72
21,12,0,0,0,0,7390.634,1,3557.934
22,11,1,0,0,1,7497.752,1,668.7466
20,9,0,1,0,1,8015.442,1,5487.97
17,11,1,0,0,1,8497.436,1,9017.004
24,11,1,0,0,1,9180.92,1,0
23,12,1,0,1,0,15079.95,1,10283.49
23,10,1,0,0,1,15709.56,1,5665.066
26,11,0,0,0,1,22959.76,1,2746.614
21,13,1,0,0,0,24806.83,1,8803.666
18,10,1,0,1,1,1958.096,1,10989.93
22,10,1,0,0,1,653.9542,1,11134.98
17,10,1,0,0,1,1000.55,1,1433.531
20,7,1,0,0,1,1569.49,1,5518.083
17,9,1,0,0,1,1667.583,1,5594.729
23,11,1,0,0,1,1961.864,1,3689.126
32,10,1,0,0,1,2321.537,1,179.0217
19,12,1,0,0,0,2534.072,1,4551.979
30,10,1,0,0,1,2615.817,1,0
25,12,1,0,0,0,2746.608,1,2090.678
26,11,0,0,0,1,4676.457,1,1973.345
19,10,1,0,0,1,3473.808,1,5861.603
19,8,0,0,0,1,3416.907,1,9251.357
20,10,1,0,0,1,5100.839,1,13626.04
21,11,1,0,0,1,5310.107,1,7906.341
23,12,1,0,0,0,7841.972,1,7947.257
19,11,1,0,0,1,6409.027,1,11648.7
22,11,1,0,0,1,8774.791,1,18295.82
23,12,1,0,0,0,7782.042,1,14416.84
26,10,1,0,1,1,8141.703,1,4635.66
24,12,1,0,0,0,12982.34,1,0
18,10,0,1,0,1,12625.51,1,0
27,11,1,0,0,1,14223.5,1,7661.973
21,11,0,1,0,1,17983.71,1,15191.91
25,8,0,0,0,1,23096.65,1,6421.53
21,12,1,0,0,0,807.9511,1,4350.907
19,11,1,0,0,1,532.2536,1,0
18,11,1,0,0,1,851.6061,1,0
34,7,1,0,0,1,857.5195,1,0
21,11,0,0,0,1,946.2279,1,11412.24
25,9,1,0,0,1,1536.503,1,1709.342
17,9,1,0,0,1,1341.651,1,1374.066
28,8,1,0,0,1,1182.786,1,7779.263
18,9,1,0,0,1,1182.786,1,5100.469
27,12,1,0,0,0,4310.455,1,0
23,9,1,0,0,1,1774.18,1,11464.71
19,8,0,1,0,1,1862.889,1,8774.623
21,11,1,0,0,1,2158.585,1,0
21,11,1,0,0,1,2217.724,1,4082.37
23,10,1,0,0,1,2217.724,1,0
27,9,1,0,0,1,2294.605,1,2018.556
27,11,1,0,0,1,2483.852,1,0
23,12,0,0,0,0,3903.195,1,796.5597
27,8,1,0,0,1,7218.277,1,7976.932
28,11,1,0,1,1,6952.58,1,7318.186
25,12,1,0,0,0,5204.259,1,0
20,12,1,0,0,0,6085.421,1,9750.66
26,12,1,0,0,0,6608.803,1,5811.765
23,10,1,0,1,1,10495.08,1,3385.811
49,8,0,0,1,1,7285.948,1,16717.12
19,11,1,0,0,1,10224.37,1,11293.81
21,13,0,0,0,0,8616.852,1,99.57002
27,12,1,0,1,0,7806.387,1,2777.585
23,11,1,0,0,1,8959.589,1,1659.5
22,11,1,0,0,1,12170.94,1,8408.393
24,15,1,0,0,0,13008.5,1,14683.63
24,12,1,0,0,0,18154.06,1,0
18,11,1,0,0,1,214.5636,1,929.8839
17,10,1,0,0,1,5793.852,1,5522.788
17,9,1,0,0,1,1253.439,1,5445.2
28,11,1,0,0,1,6871.856,1,0
27,11,1,0,0,1,2666.274,1,0
19,11,1,0,0,1,2615.276,1,4146.603
18,11,0,0,0,1,919.5579,1,4321.705
24,10,1,0,0,1,2421.947,1,1660.508
23,12,1,0,0,0,3039.96,1,8484.239
21,9,1,0,0,1,5749.331,1,743.6666
21,12,1,0,0,0,3332.409,1,9371.037
24,9,1,0,0,1,2288.675,1,4849.559
20,9,0,1,0,1,5875.049,1,1358.643
25,13,1,0,0,0,3090.732,1,0
35,8,1,0,1,1,17976.15,1,3786.628
17,9,0,1,0,1,74.34345,1,6210.67
24,11,1,0,1,1,1666.113,1,4032.708
20,12,1,0,0,0,165.2077,1,0
21,8,1,0,0,1,3695.897,1,4279.613
18,10,1,0,0,1,1784.274,1,11141.39
27,12,1,0,0,0,357.9499,1,22163.25
22,9,1,0,0,1,3836.986,1,3462.564
46,8,1,0,0,1,2594.723,1,0
19,10,1,0,0,1,6056.754,1,0
19,11,0,1,1,1,5463.803,1,6788.463
22,12,1,0,0,0,936.1773,1,0
22,12,0,0,0,0,8455.504,1,12590.71
26,12,1,0,1,0,5794.831,1,1424.944
29,12,1,0,0,0,4878.937,1,10976.51
31,9,1,0,0,1,5517.841,1,9558.501
29,12,1,0,0,0,1817.284,1,0
35,9,1,0,1,1,13830.64,1,12803.97
25,12,1,0,0,0,2409.274,1,0
22,12,0,1,1,0,7055.702,1,10092.83
27,10,1,0,0,1,3550.075,1,0
22,10,1,0,1,1,5588.664,1,13228.28
19,8,1,0,0,1,2937.264,1,7535.942
20,11,1,0,0,1,1220.836,1,1085.44
21,12,0,0,0,0,334.0494,1,12558.02
27,12,1,0,1,0,334.0493,1,0
20,10,1,0,0,1,2777.355,1,5615.189
23,12,1,0,0,0,501.0741,1,671.3318
27,13,0,0,1,0,853.7225,1,0
23,12,0,1,0,0,1117.439,1,559.4432
24,12,1,0,0,0,2842.764,1,6167.681
20,11,1,0,0,1,1484.994,1,6943.342
26,10,1,0,0,1,6788.958,1,672.8773
25,14,1,0,1,0,11536.57,1,36646.95
26,10,1,0,1,1,0,1,0
20,9,1,0,0,1,0,1,8881.665
31,4,1,0,0,1,4023.211,1,7382.549
24,10,1,0,1,1,4078.152,1,0
33,11,1,0,1,1,25142.24,1,4181.942
33,12,1,0,1,0,10941.35,1,15952.6
23,10,1,0,0,1,0,0,0
26,12,0,0,0,0,0,0,12383.68
22,9,1,0,0,1,0,0,0
34,9,1,0,0,1,4368.413,0,14051.16
18,9,1,0,0,1,0,0,10740.08
45,11,1,0,0,1,0,0,11796.47
18,9,1,0,0,1,0,0,9227.052
27,12,1,0,0,0,2483.851,0,3552.268
24,8,0,0,0,1,0,0,10569.27
34,11,1,0,1,1,0,0,6040.335
20,13,1,0,0,0,8965.243,0,9199.563
24,4,0,1,0,1,0,0,3880.833
28,12,0,0,0,0,803.343,0,16477.02
21,10,1,0,0,1,922.5729,0,0
28,12,1,0,1,0,29009.11,0,10067.43
20,12,1,0,0,0,6004.728,0,4779.72
23,8,1,0,0,1,3403.056,0,0
21,11,1,0,1,1,7244.561,0,8976.826
36,10,1,0,0,1,0,0,0
18,12,0,0,0,0,735.2051,0,2502.526
21,14,1,0,0,0,0,0,5775.062
30,13,1,0,0,0,5569.761,0,0
26,11,0,1,0,1,1491.016,0,0
28,9,1,0,0,1,0,0,0
31,4,0,0,0,1,10711.08,0,0
18,12,1,0,0,0,642.6645,0,14444.71
27,7,1,0,1,1,0,0,0
19,11,0,0,0,1,0,0,0
20,8,1,0,0,1,0,0,0
28,8,1,0,0,1,10610.08,0,4623.188
34,12,1,0,0,0,0,0,2113.722
24,10,1,0,0,1,0,0,7618.639
24,9,1,0,0,1,0,0,16461.57
22,8,0,1,0,1,0,0,9920.945
25,11,1,0,0,1,0,0,4196.375
20,11,0,0,0,1,1177.118,0,8743.071
21,9,1,0,0,1,0,0,3343.224
19,12,1,0,0,0,2814.195,0,1720.907
39,9,1,0,0,1,0,0,0
19,9,1,0,1,1,0,0,16658.25
24,10,1,0,0,1,1307.908,0,0
44,9,1,0,0,1,0,0,9722.003
23,11,1,0,0,1,1896.023,0,5573.547
22,12,1,0,0,0,532.2536,0,1333.445
27,8,1,0,0,1,0,0,3783.66
27,11,1,0,1,1,1122.621,0,215.8348
18,9,1,0,0,1,1605.448,0,0
25,8,1,0,0,1,0,0,3515.929
31,10,1,0,0,1,0,0,17014.59
28,10,1,0,0,1,6567.329,0,5435.787
26,10,1,0,1,1,558.7734,0,0
30,8,1,0,0,1,1706.657,0,0
28,11,0,1,1,1,0,0,6771.622
34,10,1,0,1,1,0,0,0
21,7,0,1,0,1,0,0,0
33,12,1,0,0,0,0,0,5970.257
19,9,1,0,0,1,1778.089,0,7171
20,11,1,0,0,1,7967.209,0,0
18,10,0,1,0,1,0,0,1859.167
27,12,1,0,1,0,752.3901,0,0
26,12,1,0,1,0,0,0,6191.943
24,9,1,0,0,1,9662.67,0,0
31,12,1,0,0,0,0,0,7284.394
22,12,1,0,0,0,2158.05,0,0
28,14,1,0,0,0,6539.537,0,3123.116
35,10,1,0,0,1,0,0,445.8309
20,12,1,0,0,0,0,0,0
30,9,0,0,0,1,3141.917,0,1320.923
25,11,1,0,0,1,0,0,0
25,10,1,0,0,1,0,0,7367.04
35,11,1,0,0,1,0,0,0
22,8,1,0,0,1,6150.52,0,0
21,12,1,0,0,0,449.0479,0,0
20,10,1,0,0,1,0,0,2015.503
21,8,1,0,0,1,2237.208,0,1764.108
25,9,0,1,0,1,0,0,15791.13
24,10,0,1,0,1,3000.838,0,5350.038
33,11,1,0,0,1,2899.82,0,18859.89
21,9,1,0,0,1,12357.22,0,0
27,11,1,0,1,1,4491.884,0,0
27,10,1,0,0,1,0,0,1135.47
20,11,0,1,0,1,0,0,6378.72
25,13,1,0,0,0,10240.36,0,10020.72
18,11,1,0,0,1,645.2723,0,5497.591
26,11,1,0,0,1,0,0,7176.187
38,8,1,0,0,1,0,0,0
21,11,1,0,1,1,7652.12,0,8396.654
34,11,1,0,0,1,8912.484,0,5611.866
21,10,1,0,0,1,1162.362,0,39483.53
31,13,1,0,0,0,10393.61,0,7404.762
34,10,1,0,0,1,0,0,7952.54
25,11,1,0,0,1,3649.769,0,0
24,9,1,0,0,1,1275.356,0,8644.427
19,12,1,0,0,0,0,0,0
32,8,1,0,0,1,0,0,7152.132
20,9,0,1,0,1,0,0,8329.823
23,10,1,0,0,1,0,0,0
38,10,1,0,0,1,0,0,12429.91
24,11,1,0,0,1,0,0,0
19,10,0,1,0,1,1197.462,0,11223.72
23,11,1,0,0,1,0,0,5088.76
20,7,0,1,0,1,0,0,4374.04
25,10,1,0,1,1,9319.444,0,0
21,11,1,0,0,1,0,0,1553.291
25,10,1,0,0,1,0,0,0
22,11,1,0,1,1,0,0,1698.304
29,9,0,1,0,1,16341.16,0,16900.3
21,11,1,0,0,1,1862.889,0,11630.66
21,7,1,0,0,1,0,0,11011.57
23,11,1,0,0,1,0,0,0
20,12,1,0,0,0,1371.473,0,20893.11
21,11,0,1,0,1,8920.471,0,20857.84
26,12,1,0,0,0,7322.037,0,4677.049
24,12,0,0,0,0,0,0,11294.63
43,10,1,0,0,1,4128.443,0,7565.273
31,11,1,0,0,1,1726.445,0,0
22,11,1,0,0,1,2707.372,0,100.6998
29,11,1,0,0,1,0,0,0
24,11,1,0,0,1,0,0,14626.39
22,9,1,0,0,1,0,0,12898.38
19,11,1,0,0,1,8870.879,0,7396.292
28,11,1,0,0,1,0,0,5767.133
18,10,0,1,0,1,0,0,6527.919
18,9,1,0,0,1,2138.094,0,5767.704
26,10,1,0,0,1,0,0,3931.238
25,10,1,0,0,1,0,0,20942.24
26,12,1,0,0,0,8479.593,0,10820.55
23,11,1,0,0,1,29897.19,0,23483.45
20,8,0,1,0,1,1124.801,0,11731.2
24,10,1,0,0,1,0,0,0
27,13,1,0,0,0,8797.348,0,1653.481
26,5,1,0,0,1,0,0,0
37,10,1,0,0,1,8606.743,0,0
36,10,1,0,0,1,0,0,14690.35
22,11,1,0,0,1,0,0,0
22,9,1,0,0,1,506.4076,0,604.1987
25,12,1,0,0,0,0,0,3418.097
22,10,1,0,0,1,1765.676,0,0
27,11,1,0,0,1,0,0,11197.34
29,8,1,0,0,1,0,0,0
18,9,1,0,0,1,2006.629,0,6546.01
24,12,1,0,0,0,0,0,0
27,9,0,1,0,1,1596.762,0,6723.414
19,9,1,0,0,1,902.4565,0,1914.414
22,10,1,0,0,1,0,0,0
29,12,1,0,0,0,1359.347,0,132.76
30,11,1,0,1,1,9311.938,0,3982.801
22,7,1,0,0,1,13503.77,0,11607.09
24,7,1,0,0,1,0,0,1455.69
29,14,1,0,0,0,3357.185,0,7226.049
29,12,1,0,0,0,0,0,1890.937
22,11,1,0,0,1,1321.66,0,2639.29
25,11,0,1,1,1,0,0,4485.616
30,12,1,0,0,0,0,0,13613.35
22,8,1,0,0,1,0,0,1390.509
55,3,1,0,0,1,0,0,5843.796
35,10,1,0,0,1,9902.763,0,9453.827
20,10,1,0,0,1,0,0,8598.522
29,9,1,0,0,1,1203.824,0,9378.653
20,11,1,0,0,1,3470.389,0,7896.707
27,9,1,0,0,1,2129.016,0,0
28,10,1,0,1,1,6449.48,0,16988.18
20,11,1,0,0,1,2531.311,0,0
26,14,1,0,1,0,2025.566,0,0
19,8,0,1,0,1,1087.803,0,2987.101
34,11,1,0,0,1,0,0,2920.199
22,12,1,0,0,0,0,0,0
32,12,0,1,1,0,0,0,6735.32
19,11,1,0,0,1,1868.021,0,0
31,10,1,0,0,1,0,0,0
18,9,1,0,0,1,0,0,0
28,10,1,0,0,1,4479.587,0,128.672
32,12,1,0,0,0,12419.18,0,10673.7
50,10,0,1,0,1,0,0,0
20,12,1,0,0,0,591.8151,0,4159.919
25,11,1,0,1,1,0,0,44.75546
23,10,1,0,1,1,0,0,0
21,14,1,0,0,0,5926.795,0,29408.04
38,10,1,0,0,1,0,0,0
25,7,0,1,0,1,1177.118,0,9722.349
25,10,1,0,1,1,0,0,3701.812
29,12,1,0,0,0,2080.209,0,16969.95
42,10,1,0,0,1,0,0,6930.336
39,12,1,0,1,0,0,0,3795.799
27,11,1,0,1,1,20035.26,0,9074.764
34,13,1,0,1,0,0,0,5193.247
25,11,1,0,1,1,3266.406,0,479.2677
28,10,1,0,0,1,10068.4,0,0
24,7,1,0,0,1,0,0,2193.528
32,11,1,0,0,1,0,0,11120.53
27,13,1,0,0,0,0,0,7609.518
20,12,1,0,0,0,4932.215,0,6086.966
29,13,1,0,0,0,2265.579,0,2725.322
26,10,1,0,0,1,0,0,2169.027
44,11,1,0,0,1,0,0,0
24,9,1,0,0,1,4118.681,0,597.42
28,10,0,0,1,1,6346.193,0,6793.077
24,11,1,0,0,1,1327.993,0,9495.902
25,11,1,0,0,1,0,0,1264.232
25,8,1,0,1,1,515.8274,0,14281.31
23,11,1,0,0,1,5716.407,0,10274.84
20,11,1,0,0,1,1650.461,0,278.8751
24,12,1,0,0,0,8100.533,0,11235.11
20,11,0,0,1,1,8159.507,0,6336.783
25,12,1,0,0,0,0,0,0
28,11,1,0,0,1,863.4795,0,0
28,12,1,0,1,0,0,0,0
21,12,0,0,0,0,5440.815,0,11544.01
24,11,0,0,0,1,1468.383,0,10361.69
32,10,1,0,0,1,0,0,0
21,10,1,0,1,1,1785.18,0,6831.106
21,8,1,0,0,1,6608.304,0,3083.581
25,10,1,0,1,1,11696.37,0,11127.28
22,10,0,0,1,1,23031.98,0,5448.801
22,10,1,0,0,1,0,0,0
19,9,1,0,0,1,0,0,5712.643
31,10,1,0,1,1,0,0,0
23,11,1,0,0,1,0,0,0
22,11,1,0,0,1,875.2615,0,9139.652
33,11,1,0,0,1,0,0,0
27,10,1,0,0,1,0,0,1184.882
29,11,1,0,1,1,0,0,10225.88
38,10,1,0,1,1,14701.95,0,4393.523
20,6,1,0,0,1,2850.61,0,0
23,10,1,0,0,1,0,0,0
29,11,1,0,0,1,3256.165,0,3290.293
26,9,1,0,0,1,6955.054,0,11856.88
25,9,1,0,1,1,0,0,4715.371
24,11,1,0,0,1,13370.58,0,19533.88
25,10,1,0,0,1,0,0,289.7899
23,11,0,0,0,1,19995.64,0,12896.22
25,13,1,0,0,0,3751.048,0,1672.776
20,9,1,0,0,1,9164.449,0,8924.395
25,11,1,0,0,1,3072.726,0,284.6584
29,12,0,0,0,0,12205.14,0,16328.96
25,9,1,0,1,1,16946.63,0,7343.964
23,11,1,0,0,1,580.7901,0,0
44,9,1,0,1,1,10857.24,0,12359.31
22,12,1,0,1,0,9352.199,0,8072.181
20,11,0,0,0,1,1159.131,0,0
36,11,1,0,0,1,7311.561,0,0
24,10,1,0,0,1,0,0,0
28,8,0,0,0,1,0,0,8190.421
39,11,1,0,0,1,83.68964,0,0
27,12,0,1,0,0,24276.97,0,15762.88
31,10,1,0,0,1,520.4463,0,14527.88
26,6,1,0,0,1,0,0,4813.05
30,11,1,0,1,1,24105.39,0,7263.025
31,8,1,0,0,1,4577.68,0,6153.83
26,8,1,0,0,1,5562.598,0,3523.578
26,10,1,0,1,1,9107.431,0,12659.58
24,12,1,0,0,0,159.8847,0,0
25,11,1,0,0,1,2455.067,0,8764.148
29,9,1,0,0,1,9160.693,0,0
30,14,1,0,1,0,0,0,7344.678
25,10,1,0,1,1,0,0,0
41,12,1,0,0,0,9818.467,0,0
29,11,1,0,1,1,0,0,0
25,12,1,0,1,0,0,0,0
28,13,1,0,0,0,0,0,0
23,11,1,0,0,1,0,0,4350.907
54,11,1,0,0,1,0,0,7812.522
33,5,0,1,0,1,0,0,0
31,12,0,0,0,0,494.643,0,0
34,12,1,0,0,0,4087.214,0,5670.82
50,8,1,0,1,1,5630.05,0,8997.193
31,11,1,0,0,1,7505.213,0,308.3352
36,12,0,1,0,0,11491.95,0,4978.501
20,8,1,0,0,1,0,0,3644.655
24,12,0,0,1,0,24294.75,0,665.7374
23,12,0,1,0,0,8960.684,0,7078.178
26,13,0,0,0,0,5395.119,0,9766.2
28,11,0,0,0,1,3200.912,0,7645.055
45,9,1,0,0,1,0,0,4844.803
23,10,1,0,1,1,9854.153,0,0
28,11,1,0,0,1,13371.25,0,0
26,11,1,0,1,1,4184.732,0,0
22,10,1,0,0,1,2174.955,0,5344.021
27,13,0,0,0,0,474.5018,0,4812.576
27,12,0,1,0,0,2677.771,0,17395.17
39,6,1,0,0,1,0,0,0
25,11,1,0,0,1,0,0,0
31,11,1,0,0,1,18291.41,0,0
22,12,1,0,0,0,2003.68,0,439.6881
22,10,1,0,0,1,13732.98,0,10770.96
28,10,1,0,0,1,367.8234,0,4858.895
31,11,1,0,0,1,6382.587,0,0
27,10,1,0,1,1,11280.71,0,0
28,11,1,0,1,1,5393.895,0,4974.586
26,12,1,0,0,0,0,0,0
27,12,1,0,0,0,32984.25,0,10833.34
27,12,0,0,0,0,5035.444,0,0
36,12,1,0,0,0,142.3973,0,0
26,8,1,0,1,1,4084.258,0,0
23,9,1,0,1,1,19289.85,0,7600.104
23,10,1,0,0,1,0,0,0
31,12,1,0,0,0,5613.909,0,0
36,7,1,0,0,1,1606.662,0,20780.65
39,12,1,0,1,0,6608.137,0,499.2572
35,11,1,0,1,1,8720.905,0,0
21,9,0,0,0,1,1577.167,0,1740.199
36,11,0,1,0,1,3063.878,0,1324.542
27,12,0,0,0,0,0,0,14792.9
26,11,1,0,0,1,1174.991,0,6672.021
28,9,1,0,1,1,9210.447,0,1239.844
33,9,0,1,1,1,0,0,0
28,11,1,0,1,1,10033.91,0,0
22,11,1,0,0,1,6974.484,0,3708.719
25,11,1,0,0,1,4284.429,0,4116.702
25,10,1,0,1,1,0,0,0
27,11,1,0,0,1,766.2986,0,0
26,8,0,0,1,1,36941.27,0,30247.5
28,12,1,0,1,0,5551.456,0,12780.02
25,10,0,0,0,1,8140.402,0,3412.955
22,10,0,0,0,1,10598.67,0,7094.92
23,8,1,0,0,1,0,0,3746.701
20,12,0,0,0,0,3104.815,0,12573.97
19,11,1,0,0,1,3285.68,0,11195.93
17,9,0,1,0,1,671.2271,0,4209.579
19,11,1,0,0,1,5160.259,0,0
18,11,1,0,0,1,4152.609,0,4164.767
17,10,0,1,0,1,1239.628,0,5088.986
20,11,1,0,0,1,3248.937,0,6027.639
18,8,1,0,0,1,0,0,1568.15
20,10,1,0,0,1,3677.588,0,557.7499
18,11,1,0,0,1,2041.363,0,796.559
19,10,0,1,0,1,2275.368,0,4335.159
17,8,1,0,0,1,0,0,7010.444
17,10,0,1,0,1,1734.559,0,6354.194
18,10,1,0,0,1,2682.125,0,0
18,10,1,0,0,1,240.1067,0,2891.668
19,11,0,1,1,1,308.2192,0,0
18,11,1,0,0,1,8784.237,0,1824.377
19,11,1,0,0,1,1615.901,0,8823.059
19,10,1,0,0,1,963.9971,0,7047.08
19,9,0,1,0,1,0,0,3811.683
